case,nu,empirical,scalar_preactivation_bound,row_aware_bound,exact_factorization,scalar_ratio,row_aware_ratio,exact_factorization_ratio
synthetic random context,0.1,2.416273593902588,2.4945621476907434,2.417860746383667,2.406273365020752,1.0324005336091553,1.0006568595895284,0.9958613010931083
synthetic random context,0.3111111111111111,2.6463327407836914,2.7774604378929113,2.6467678546905518,2.646017551422119,1.049550721679235,1.000164421465281,0.9998808957933691
synthetic random context,0.5222222222222223,2.8195464611053467,2.941045915984079,2.820024251937866,2.819546699523926,1.043091843512698,1.0001694566268406,1.000000084559195
synthetic random context,0.7333333333333333,2.939751148223877,3.0471378475642497,2.9401967525482178,2.9397456645965576,1.0365291801672578,1.0001515789268796,0.9999981346627511
synthetic random context,0.9444444444444444,3.0266611576080322,3.1214058340020774,3.0270774364471436,3.0266599655151367,1.031303364156205,1.0001375373117223,0.9999996061359916
synthetic random context,1.1555555555555557,3.0921504497528076,3.176249417304314,3.092548131942749,3.0921506881713867,1.0271975665214574,1.0001286102330413,1.0000000771044562
synthetic random context,1.3666666666666667,3.143176794052124,3.218396480700798,3.14355206489563,3.143174171447754,1.0239311026955318,1.0001193922162495,0.9999991656198356
synthetic random context,1.577777777777778,3.184021234512329,3.2517936437568538,3.184389352798462,3.184023141860962,1.0212851624574373,1.0001156142685679,1.000000599037661
synthetic random context,1.788888888888889,3.2174482345581055,3.278900243852895,3.2177979946136475,3.217437267303467,1.0190996108763284,1.0001087072829284,0.9999965913190084
synthetic random context,2.0,3.245286464691162,3.3013360402652214,3.2456345558166504,3.2452847957611084,1.0172710718094937,1.0001072605236165,0.9999994857372155
pretrained random context,0.1,2.137826919555664,2.3770579843890194,2.1688077449798584,2.1378259658813477,1.1119038508894248,1.0144917369787043,0.9999995539048051
pretrained random context,0.3111111111111111,4.854367733001709,5.1821159881101995,4.884154319763184,4.854372024536133,1.067516157228951,1.0061360383884754,1.0000008840563097
pretrained random context,0.5222222222222223,6.937170505523682,7.328073615885179,6.964738368988037,6.937171459197998,1.056349070568504,1.0039739348257917,1.0000001374730974
pretrained random context,0.7333333333333333,8.51791000366211,8.942405727048499,8.542586326599121,8.517900466918945,1.0498356666369904,1.0028969926808808,0.9999988803893021
pretrained random context,0.9444444444444444,9.745284080505371,10.184811465438303,9.767044067382812,9.745285034179688,1.0451015466867888,1.0022328735312058,1.0000000978600838
pretrained random context,1.1555555555555557,10.720580101013184,11.164418295149815,10.739665031433105,10.720585823059082,1.041400576270559,1.0017802143391585,1.0000005337440554
pretrained random context,1.3666666666666667,11.511650085449219,11.953747581850307,11.528429985046387,11.511651992797852,1.0384043549898985,1.001457645035474,1.000000165688552
pretrained random context,1.577777777777778,12.164876937866211,12.601788394697575,12.17963695526123,12.16487979888916,1.0359158139505191,1.0012133305968,1.0000002351871675
pretrained random context,1.788888888888889,12.712579727172852,13.14246635831158,12.725645065307617,12.712579727172852,1.033815845435357,1.0010277487665888,1.0
pretrained random context,2.0,13.177938461303711,13.602255619719836,13.189545631408691,13.177947998046875,1.0321990544774593,1.0008808031801837,1.0000007236900668
pretrained image-derived context,0.1,2.1181247234344482,2.3535295047212696,2.1488640308380127,2.1181232929229736,1.1111383001587944,1.0145125105540158,0.9999993246330309
pretrained image-derived context,0.3111111111111111,4.740232944488525,5.050950848527569,4.769606113433838,4.740230560302734,1.0655490790595674,1.0061965665589208,0.9999994970319351
pretrained image-derived context,0.5222222222222223,6.70662784576416,7.073406060933267,6.733982086181641,6.706631660461426,1.054688917232937,1.0040786876872492,1.0000005687951312
pretrained image-derived context,0.7333333333333333,8.176314353942871,8.572311916576068,8.201208114624023,8.17631721496582,1.0484322820149685,1.0030446188347868,1.0000003499159678
pretrained image-derived context,0.9444444444444444,9.30555248260498,9.713275656870646,9.327909469604492,9.305543899536133,1.0438150421512133,1.0024025426799004,0.999999077640058
pretrained image-derived context,1.1555555555555557,10.196191787719727,10.60573902425487,10.216259956359863,10.196188926696777,1.040166686255196,1.0019682023502448,0.9999997194027919
pretrained image-derived context,1.3666666666666667,10.9147367477417,11.32055115880222,10.93277645111084,10.91473388671875,1.0371804121748043,1.0016527841015381,0.9999997378752218
pretrained image-derived context,1.577777777777778,11.50566577911377,11.904781376183193,11.52199935913086,11.505658149719238,1.0346886138300608,1.001419611896492,0.9999993369010818
pretrained image-derived context,1.788888888888889,11.999677658081055,12.39048564597821,12.014512062072754,11.99968433380127,1.0325682071662958,1.0012362335401326,1.0000005563249619
pretrained image-derived context,2.0,12.418444633483887,12.800345624569355,12.431971549987793,12.418438911437988,1.0307527232561593,1.0010892601209844,0.9999995392300672
